,index,Trade,JPM,JPM_stock,Order,Shares,cash,equity_value,port_value,market_impact,Symbol,prev_cash
161,2008-08-21,2000.0,33.72,1000,BUY,2000.0,1126170.0,33720.0,1159890.0,0.0,JPM,1193610.0
162,2008-08-22,-2000.0,35.03,-1000,SELL,2000.0,1196230.0,-35030.0,1161200.0,0.0,JPM,1126170.0
163,2008-08-25,2000.0,33.6,1000,BUY,2000.0,1129030.0,33600.0,1162630.0,0.0,JPM,1196230.0
164,2008-08-26,0.0,34.04,1000,HOLD,0.0,1129030.0,34040.0,1163070.0,0.0,JPM,1129030.0
165,2008-08-27,0.0,34.54,1000,HOLD,0.0,1129030.0,34540.0,1163570.0,0.0,JPM,1129030.0
166,2008-08-28,-2000.0,36.15,-1000,SELL,2000.0,1201330.0,-36150.0,1165180.0,0.0,JPM,1129030.0
167,2008-08-29,2000.0,35.79,1000,BUY,2000.0,1129750.0,35790.0,1165540.0,0.0,JPM,1201330.0
168,2008-09-02,0.0,36.26,1000,HOLD,0.0,1129750.0,36260.0,1166010.0,0.0,JPM,1129750.0
169,2008-09-03,-2000.0,36.93,-1000,SELL,2000.0,1203610.0,-36930.0,1166680.0,0.0,JPM,1129750.0
170,2008-09-04,2000.0,35.25,1000,BUY,2000.0,1133110.0,35250.0,1168360.0,0.0,JPM,1203610.0
171,2008-09-05,0.0,36.82,1000,HOLD,0.0,1133110.0,36820.0,1169930.0,0.0,JPM,1133110.0
172,2008-09-08,-2000.0,38.64,-1000,SELL,2000.0,1210390.0,-38640.0,1171750.0,0.0,JPM,1133110.0
173,2008-09-09,0.0,36.7,-1000,HOLD,0.0,1210390.0,-36700.0,1173690.0,0.0,JPM,1210390.0
174,2008-09-10,2000.0,36.64,1000,BUY,2000.0,1137110.0,36640.0,1173750.0,0.0,JPM,1210390.0
175,2008-09-11,-2000.0,38.73,-1000,SELL,2000.0,1214570.0,-38730.0,1175840.0,0.0,JPM,1137110.0
176,2008-09-12,0.0,38.28,-1000,HOLD,0.0,1214570.0,-38280.0,1176290.0,0.0,JPM,1214570.0
177,2008-09-15,2000.0,34.41,1000,BUY,2000.0,1145750.0,34410.0,1180160.0,0.0,JPM,1214570.0
178,2008-09-16,-2000.0,37.88,-1000,SELL,2000.0,1221510.0,-37880.0,1183630.0,0.0,JPM,1145750.0
179,2008-09-17,2000.0,33.26,1000,BUY,2000.0,1154990.0,33260.0,1188250.0,0.0,JPM,1221510.0
180,2008-09-18,0.0,37.47,1000,HOLD,0.0,1154990.0,37470.0,1192460.0,0.0,JPM,1154990.0
181,2008-09-19,-2000.0,43.75,-1000,SELL,2000.0,1242490.0,-43750.0,1198740.0,0.0,JPM,1154990.0
182,2008-09-22,0.0,37.94,-1000,HOLD,0.0,1242490.0,-37940.0,1204550.0,0.0,JPM,1242490.0
183,2008-09-23,0.0,37.72,-1000,HOLD,0.0,1242490.0,-37720.0,1204770.0,0.0,JPM,1242490.0
184,2008-09-24,2000.0,37.66,1000,BUY,2000.0,1167170.0,37660.0,1204830.0,0.0,JPM,1242490.0
185,2008-09-25,0.0,40.41,1000,HOLD,0.0,1167170.0,40410.0,1207580.0,0.0,JPM,1167170.0
186,2008-09-26,-2000.0,44.86,-1000,SELL,2000.0,1256890.0,-44860.0,1212030.0,0.0,JPM,1167170.0
187,2008-09-29,2000.0,38.13,1000,BUY,2000.0,1180630.0,38130.0,1218760.0,0.0,JPM,1256890.0
188,2008-09-30,0.0,43.43,1000,HOLD,0.0,1180630.0,43430.0,1224060.0,0.0,JPM,1180630.0
189,2008-10-01,0.0,46.15,1000,HOLD,0.0,1180630.0,46150.0,1226780.0,0.0,JPM,1180630.0
190,2008-10-02,-2000.0,46.71,-1000,SELL,2000.0,1274050.0,-46710.0,1227340.0,0.0,JPM,1180630.0
191,2008-10-03,0.0,43.01,-1000,HOLD,0.0,1274050.0,-43010.0,1231040.0,0.0,JPM,1274050.0
192,2008-10-06,0.0,41.23,-1000,HOLD,0.0,1274050.0,-41230.0,1232820.0,0.0,JPM,1274050.0
193,2008-10-07,0.0,36.85,-1000,HOLD,0.0,1274050.0,-36850.0,1237200.0,0.0,JPM,1274050.0
194,2008-10-08,0.0,36.83,-1000,HOLD,0.0,1274050.0,-36830.0,1237220.0,0.0,JPM,1274050.0
195,2008-10-09,2000.0,34.37,1000,BUY,2000.0,1205310.0,34370.0,1239680.0,0.0,JPM,1274050.0
196,2008-10-10,0.0,39.02,1000,HOLD,0.0,1205310.0,39020.0,1244330.0,0.0,JPM,1205310.0
197,2008-10-13,-2000.0,39.35,-1000,SELL,2000.0,1284010.0,-39350.0,1244660.0,0.0,JPM,1205310.0
198,2008-10-14,0.0,38.15,-1000,HOLD,0.0,1284010.0,-38150.0,1245860.0,0.0,JPM,1284010.0
199,2008-10-15,2000.0,36.07,1000,BUY,2000.0,1211870.0,36070.0,1247940.0,0.0,JPM,1284010.0
200,2008-10-16,-2000.0,37.94,-1000,SELL,2000.0,1287750.0,-37940.0,1249810.0,0.0,JPM,1211870.0
201,2008-10-17,2000.0,36.85,1000,BUY,2000.0,1214050.0,36850.0,1250900.0,0.0,JPM,1287750.0
202,2008-10-20,-2000.0,38.1,-1000,SELL,2000.0,1290250.0,-38100.0,1252150.0,0.0,JPM,1214050.0
203,2008-10-21,0.0,37.24,-1000,HOLD,0.0,1290250.0,-37240.0,1253010.0,0.0,JPM,1290250.0
204,2008-10-22,2000.0,34.83,1000,BUY,2000.0,1220590.0,34830.0,1255420.0,0.0,JPM,1290250.0
205,2008-10-23,-2000.0,35.47,-1000,SELL,2000.0,1291530.0,-35470.0,1256060.0,0.0,JPM,1220590.0
206,2008-10-24,0.0,33.2,-1000,HOLD,0.0,1291530.0,-33200.0,1258330.0,0.0,JPM,1291530.0
207,2008-10-27,2000.0,31.86,1000,BUY,2000.0,1227810.0,31860.0,1259670.0,0.0,JPM,1291530.0
